Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,584.386515325947
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Albania,ALB,4543.38772250631
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Algeria,DZA,4153.00344111131
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,American Samoa,ASM,13288.3565565116
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Andorra,AND,39413.7908792259
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Angola,AGO,2569.70165067457
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Antigua and Barbuda,ATG,17599.9687156255
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Argentina,ARG,12716.2242038544
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Armenia,ARM,4561.96780299386
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Aruba,ABW,31762.7339603086
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Australia,AUS,58868.4806341229
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Austria,AUT,46647.0809634335
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Azerbaijan,AZE,5348.45413572489
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Bahamas, The",BHS,29760.3414026944
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bahrain,BHR,23414.2190743533
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bangladesh,BGD,1557.96433416698
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Barbados,BRB,17168.1456868491
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belarus,BLR,6267.76579524677
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belgium,BEL,43107.214821718
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Belize,BLZ,5907.34887238917
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Benin,BEN,1153.72620998081
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bermuda,BMU,107036.239271085
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bhutan,BTN,3219.64143919345
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bolivia,BOL,3242.94884532224
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bosnia and Herzegovina,BIH,5558.08255264153
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Botswana,BWA,6485.46043979844
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brazil,BRA,8592.21021838819
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,British Virgin Islands,VGB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,30313.4172889713
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Bulgaria,BGR,8242.31399635503
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burkina Faso,BFA,716.012197407328
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Burundi,BDI,270.137277342414
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cabo Verde,CPV,3690.65647565113
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cambodia,KHM,1465.96953538762
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cameroon,CMR,1454.56406898726
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Canada,CAN,45113.0662817802
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cayman Islands,CYM,82170.5930267913
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Central African Republic,CAF,381.414046366167
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chad,TCD,652.703215990686
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Channel Islands,CHI,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Chile,CHL,13761.3744735648
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,China,CHN,10155.5114163468
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Colombia,COL,6404.10876575124
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Comoros,COM,1381.62223798763
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Dem. Rep.",COD,494.819247637626
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Rep.",COG,1731.79988587811
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Costa Rica,CRI,12662.4228541585
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cote d'Ivoire,CIV,2252.54331624897
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Croatia,HRV,14211.7554309381
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cuba,CUB,8042.94852386634
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Curacao,CUW,17796.699906511
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cyprus,CYP,28360.03125
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Czechia,CZE,20206.4256384905
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Denmark,DNK,57203.0277943447
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Djibouti,DJI,2820.06286565541
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Dominica,DMA,7936.3048182003
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Dominican Republic,DOM,8205.14257811769
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ecuador,ECU,5863.91056629908
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Egypt, Arab Rep.",EGY,3769.03576994499
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,El Salvador,SLV,4105.64616821665
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Equatorial Guinea,GNQ,6472.07088282732
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Eritrea,ERI,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Estonia,EST,20269.575137379
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Eswatini,SWZ,3766.06299935158
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ethiopia,ETH,785.484981695154
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Faroe Islands,FRO,56402.3944501364
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Fiji,FJI,5678.9699421145
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Finland,FIN,46135.8814242631
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,France,FRA,38832.0242014303
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,French Polynesia,PYF,19807.2931430135
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Gabon,GAB,6893.32310568364
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Gambia, The",GMB,668.635121138293
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Georgia,GEO,4773.33566552898
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Germany,DEU,43284.6024553493
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Ghana,GHA,1981.61392799198
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Gibraltar,GIB,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Greece,GRC,19018.9021220823
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Greenland,GRL,48170.790903444
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Grenada,GRD,9247.89838199082
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guam,GUM,35378.9557673086
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guatemala,GTM,4263.70844366435
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guinea,GIN,937.703131535471
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guinea-Bissau,GNB,633.72574593523
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Guyana,GUY,6348.69808969246
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Haiti,HTI,1387.51491315309
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Honduras,HND,2446.10809655856
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Hong Kong SAR, China",HKG,44195.2623401674
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Hungary,HUN,15083.5991718742
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Iceland,ISL,57461.8019611457
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,India,IND,1944.31483661637
